time,pid,name
18-04-30 14-03,2514,unity-scope-loader
18-04-30 14-03,2515,unity-files-daemon
18-04-30 14-03,4017,kworker/u2:1
18-04-30 14-03,4211,kworker/0:0
18-04-30 14-03,4854,notify-osd
18-04-30 14-03,4961,kworker/0:3
18-04-30 14-03,4988,kworker/u2:2
18-04-30 14-03,5003,dhclient
18-04-30 14-03,5027,kworker/0:1
18-04-30 14-03,5039,kworker/u2:0
18-04-30 14-03,5052,gnome-terminal-server
18-04-30 14-03,5059,bash
18-04-30 14-03,5111,python
